label, kind, teachers, rooms, students, duration, after, min_offset, max_offset
MECHA_CM1, CM, Krang, Room_A, CMA, 1, MECHA_Renforcement_2, 10, -1
MECHA_CM2, CM, Krang, Room_A, CMA, 1, MECHA_TD1_A; MECHA_TD1_B, 10, -1
MECHA_TD1_A, TD, Krang, Room_A; Room_B, TDA, 1, MECHA_CM1, 0, -1
MECHA_TD1_B, TD, Shredder; Krang, Room_A; Room_B, TDB, 1, MECHA_CM1, 0, -1
MECHA_TD2_A, TD, Krang, Room_A; Room_B, TDA, 1, MECHA_CM2, 0, -1
MECHA_TD2_B, TD, Shredder; Shredder, Room_A; Room_B, TDB, 1, MECHA_CM2, 0, -1
MECHA_TD3_A, TD, Shredder, Room_B, TDB, 1, MECHA_TD2_A, 5, -1
MECHA_TD3_B, TD, Shredder, Room_B, TDB, 1, MECHA_TD2_B, 5, -1
MECHA_Renforcement_1, TD, Shredder, Room_B, TDA+B, 1, None, 5, -1
MECHA_Renforcement_2, TD, Shredder, Room_B, TDA+B, 1, MECHA_Renforcement_1, 0, -1
MECHA_TP1_A1, TP, Shredder, Room_C, TPA1, 3, None, 5, -1
MECHA_TP1_B1, TP, Krang, Room_D, TPB1, 3, None, 5, -1
MECHA_TP2_A1, TP, Shredder, Room_C, TPA2, 3, MECHA_TP1_A1, 0, 1
MECHA_TP2_B1, TP, Krang, Room_D, TPB2, 3, MECHA_TP1_B1, 0, 1
MECHA_TP3_A1, TP, Shredder, Room_C, TPA1, 3, MECHA_TP2_A1, 0, -1
MECHA_TP3_B1, TP, Krang, Room_D, TPB1, 3, MECHA_TP2_A1, 0, -1
MECHA_TP4_A1, TP, Shredder, Room_C, TPA2, 3, MECHA_TP3_A1, 0, 1
MECHA_TP4_B1, TP, Krang, Room_D, TPB2, 3, MECHA_TP3_B1, 0, 1
